Nama Hakim,Terdakwa,Jumlah Perkara
RAHMAWAN,5,2
ALLANIS CENDANA,5,2
HENDHY EKA CHANDRA,5,5
ARDHIANTI PRIHASTUTI,5,4
BUYUNG DWIKORA,5,4
MUHAMAD FAUZAN HARYADI,5,4
NI GUSTI MADE UTAMI,5,4
ARI LISTYAWATI,5,4
ANDI HARDIANSYAH,5,3
IMELDA HERAWATI DEWI PRIHATIN,5,3
RAY PRATAMA SIADARI,5,4
AMINUDIN J. DUNGGIO,5,4
MUHAMMAD FAHMI HARY NUGROHO,5,3
EVA SUSIANA,5,5
AGUS PAMBUDI,5,3
AGUNG SUHENDRO,5,3
AGUNG KUSUMO NUGROHO,5,3
DAMENTA ALEXANDER,5,4
ADIYAKSA DAVID PRADIPTA,5,2
FRANS WEMPIE SUPIT PANGEMANAN,5,5
ARI CONARDO,5,3
RIZAL FIRMASNYAH,5,5
DIAN KURNIAWATI,5,3
Achmad Fachrurrozi,5,5
I KETUT SOMANASA,5,5
FERRY HADIANSYAH,5,3
MERY DONNA TIUR PASARIBU,5,5
TONI IRFAN,5,5
AGUNG NUGROHO,5,5
LENNY LASMINAR S,5,4
TIRA TIRTONA,5,4
MELISSA,5,1
YOGA DWI ARIASTOMO NUGROHO,4,4
LILIK SUGIHARTONO,4,3
YOGI ARSONO,4,3
YOFISTIAN,4,4
YOHANNES PANJI PRAWOTO,4,3
MANGAPUL MANALU,4,2
WISNU WIDIASTUTI,4,2
KAMIJON,4,3
I MADE SUDIARTA,4,1
WARSITO,4,4
WAHYU WIDURI,4,4
NUNUNG KRISTIYANI,4,4
AZHARY P. GINTING,4,2
VENI MUSTIKA E.T.O,4,4
VERA YETTI MAGDALENA,4,3
RONY SUATA,4,2
UZAN PURWADI,4,3
NOVI WIJAYANTI,4,2
ABDULLAH MAHRUS,4,4
TUMPAL SAGALA,4,1
TONIWIDJAYA HANSBERD HILLY,4,1
HARRIS TEWA,4,4
TENNY ERMA SURYATHI,4,4
INDAH WASTUKENCANA WULAN,4,3
H. MUHAMMAD DJAMIR,4,4
FLOWERRY YULIDAS,4,4
R.HENDY NURCAHYO SAPUTRO,4,4
FIRMAN SUMANTRI ERA RAMADHAN,4,4
ARY WAHYU IRAWAN,4,4
FIRDAUS SODIQIN,4,4
FAUZUL HAMDI,4,4
SUMARYONO,4,4
"EZRA SULAIMAN,",4,2
MUHAMMAD RIDUANSYAH,4,3
ETI KOERNIATI,4,3
"ERYUSMAN,",4,4
SUDIRA,4,3
JUNITIN SINAR HUMOMBANG NAINGGOLAN,4,2
STEPHANUS YUNANTO ARYWENDHO,4,4
MUHAMMAD AKBAR HANAFI,4,3
ELSA RIANI SITORUS,4,3
SOPHIE DHINDA AULIA BRAHMANA,4,2
JUNITA PANCAWATI,4,4
EDI JUNAEDI,4,3
DWIANTO JATI SUMIRAT,4,3
SILVIANINGSIH,4,4
SAYUTI,4,2
LALU MOHAMAD SANDI IRAMAYA,4,1
DIDIK NURSETIAWAN,4,4
DIDIEK JATMIKO,4,4
DIAN YUNIATI,4,2
MOHAMAD INDARTO,4,4
IBRAHIM PALINO,4,2
DEMI HADIANTORO,4,4
ARI SISWANTO,4,4
MOCHAMAD ARIF SATIYO WIDODO,4,2
DAVID PANGGABEAN,4,4
ALBANUS ASNANTO,4,2
BOY ASWIN AULIA,4,2
ROSANA IRAWATI,4,4
BUHA AMBROSIUS SITUMORANG,4,3
BERNADUS PAPENDANG,4,2
GALANG ADHE SUKMA,4,2
BASUKI WIYONO,4,4
JIHAD ARKANUDDIN,4,2
ASWARDI IDRIS,4,4
RIA PERMATA SUKMA,4,4
TITO ELIANDI,4,4
ELLY SARTIKA ACHMAD,4,3
ARIF HADI SAPUTRA,4,4
BANGKIT KUSHARTINAH,4,1
RINTIS CANDRA,4,4
NI KADEK KUSUMA WARDANI,4,4
ANWAR W.M .SAGALA,4,4
0,4,4
BUDI SETIAWAN,4,4
ANGGI PRAYURISMAN,4,4
ICHE PURNAWATY,4,4
ANDRIYANSYAH,4,4
RIFANDARU ERIAMBODO SETIAWAN,4,4
RAKHMAN RAJAGUKGUK,4,4
ANTON RIZAL SETIAWAN,4,4
ERWIN HARLOND PALYAMA,4,3
MARULI TUMPAL SIRAIT,4,4
SATRIYO MURTITOMO,4,2
MOCHAMAD FIRMANSYAH RONI,4,4
AKBAR RIDHO ARIFIN,4,4
ARIF WISAKSONO,4,4
AHMAD BUKHORI,4,4
M. ISMAIL HAMID,4,2
WIWIN ARODAWANTI,4,4
AGUS ARYANTO,4,2
MASRIDAWATI,4,4
AGENG PRIAMBODO PAMUNGKAS,4,3
DUANO AGHAKA,4,3
ADHI SATRIJA NUGROHO,4,3
MAHARANI WULAN,4,4
ZULFADLY,4,4
JONSON PARANCIS,4,2
SRI HANANTA,4,2
PUTU ENDRU SONATA,4,4
TAUFIK ABDUL HALIM NAINGGOLAN,4,3
NURSINAH,4,4
HAMDAN SARIPUDIN,4,3
ISDARYANTO,4,3
PRIHATIN STIO RAHARJO,4,4
AZIZAH AMALIA,4,4
BAKHRUDDIN TOMAJAHU,4,3
YURISTI LAPRIMONI,4,3
BAMBANG JOKO WINARNO,4,3
MARSELINUS AMBARITA,4,2
JIMMY RAY IE,4,4
BAYU ADHYPRATAMA,4,2
YULI EFFENDI,4,4
LUCAS SAHABAT DUHA,4,4
YUDHISTIRA ADHI NUGRAHA,4,2
NOERISTA SURYAWATI,3,1
IRPAN HASAN LUBIS,3,3
YENI ERLITA,3,3
IWAN HARRY WINARTO,3,2
MAROLOP WINNER PASROLAN BAKARA,3,2
LENNY KUSUMA MAHARANI,3,2
WILSON SHRIVER,3,3
HERBERT GODLIAF UKTOLSEJA,3,3
I GUSTI NGURAH PUTRA ATMAJA,3,3
MOHAMMAD WACHID USMAN,3,1
ALBERTUS USADA,3,2
EDI SAPUTRA PELAWI,3,3
DWI FLORENCE,3,1
RITA NOVITA SARI,3,2
ELIN PUJIASTUTI,3,3
ACHMAD RASYID PURBA,3,2
TUMPANULI MARBUN,3,3
KRISTANTO SAHAT HAMONANGAN SIANIPAR,3,3
HASANUDIN,3,3
NELLY ANDRIANI,3,1
TEGUH HARISSA,3,3
HALIMATUSSAKDIAH,3,1
TAUFIQURROHMAN,3,2
KHAMOZARO WARUWU,3,3
SYARIP,3,3
FREDY TANADA,3,1
FRANSISKUS ARKADEUS RUWE,3,3
SYAFRIZAL,3,3
MULYADI ARIBOWO,3,3
FERRY MARCUS JUSTINUS SUMLANG,3,2
MUHAMMAD TAUFIQ,3,2
